ABADES;1
ABADIN;2
ABADIÑO;6
ABANILLA;2
ABANTO Y CIERVANA-ABANTO ZIERBENA;4
ABARAN;6
ABARZUZA/ABARTZUZA;1
ABEGONDO;1
ABENGIBRE;2
ABENOJAR;2
ABLA;1
ABLITAS;2
ABRERA;3
ABRUCENA;1
ACEDERA;1
ACEUCHAL;4
ADAMUZ;4
ADEJE;14
ADEMUZ;2
ADOR;1
ADRA;9
ADRADA (LA);2
AGAETE;1
AGOLADA;1
AGONCILLO;2
AGOST;3
AGRAMUNT;3
AGREDA;4
AGUADULCE;2
AGUARON;1
AGUAVIVA;2
AGUDO;3
AGUILAFUENTE;1
AGUILAR DE CAMPOO;7
AGUILAR DE LA FRONTERA;6
AGUILAR DEL RIO ALHAMA;1
AGUILAS;10
AGUILON;1
AGULLANA;1
AGULLENT;1
AGULO;1
AGURAIN/SALVATIERRA;3
AGÜIMES;6
AHIGAL;1
AHILLONES;1
AIBAR/OIBAR;2
AIELO DE MALFERIT;3
AIGUAFREDA;2
AINSA-SOBRARBE;4
AINZON;2
AITONA;3
AJALVIR;3
AJOFRIN;1
ALACON;1
ALAEJOS;3
ALAGON;4
ALAGON DEL RIO;1
ALAIOR;3
ALAJAR;1
ALAJERO;1
ALAMEDA;3
ALAMEDA DE LA SAGRA;1
ALAMILLO;1
ALAMO (EL);2
ALANGE;1
ALANIS;2
ALAQUÀS;9
ALAR DEL REY;1
ALARAZ;1
ALARO;1
ALATOZ;1
ALBA DE TORMES;4
ALBACETE;62
ALBAIDA;4
ALBAIDA DEL ALJARAFE;1
ALBAL;5
ALBALADEJO;2
ALBALADEJO DEL CUENDE;1
ALBALAT DE LA RIBERA;3
ALBALAT DELS SORELLS;2
ALBALATE DE CINCA;2
ALBALATE DE LAS NOGUERAS;1
ALBALATE DE ZORITA;1
ALBALATE DEL ARZOBISPO;2
ALBANCHEZ DE MAGINA;2
ALBARES;1
ALBARRACIN;2
ALBATANA;1
ALBATERA;6
ALBATÀRRECH;3
ALBELDA;2
ALBELDA DE IREGUA;2
ALBERCA (LA);3
ALBERCA DE ZANCARA (LA);2
ALBERIC;5
ALBERITE;2
ALBESA;1
ALBI (L');2
ALBOCÀSSER;2
ALBOLOTE;8
ALBONDON;2
ALBORAIA/ALBORAYA;8
ALBOREA;1
ALBOX;4
ALBUERA (LA);2
ALBUIXECH;2
ALBURQUERQUE;5
ALBUÑAN;1
ALBUÑOL;4
ALBUÑUELAS;1
ALCADOZO;1
ALCALA DE GUADAIRA;13
ALCALA DE GURREA;1
ALCALA DE HENARES;52
ALCALA DE LA SELVA;2
ALCALA DE LOS GAZULES;3
ALCALA DEL JUCAR;1
ALCALA DEL RIO;3
ALCALA DEL VALLE;2
ALCALA LA REAL;11
ALCALÀ DE XIVERT;6
ALCAMPELL;2
ALCANADRE;1
ALCANAR;2
ALCANTARA;3
ALCANTARILLA;9
ALCARACEJOS;1
ALCARAZ;3
ALCARRÀS;5
ALCAUCIN;1
ALCAUDETE;7
ALCAUDETE DE LA JARA;1
ALCAZAR DE SAN JUAN;11
ALCAZARES (LOS);8
ALCAÑICES;3
ALCAÑIZ;9
ALCOBA;1
ALCOBENDAS;52
ALCOLEA DE CALATRAVA;2
ALCOLEA DE CINCA;2
ALCOLEA DE TAJO;1
ALCOLEA DEL PINAR;1
ALCOLEA DEL RIO;2
ALCOLETGE;1
ALCONCHEL;3
ALCORA (L');7
ALCORCON;41
ALCORISA;2
ALCOVER;2
ALCOY/ALCOI;18
ALCUBIERRE;2
ALCUBILLAS;1
ALCUDIA;10
ALCUDIA (L');6
ALCUDIA DE CRESPINS (L');2
ALCUESCAR;1
ALCÀNTERA DE XUQUER;1
ALCÀSSER;2
ALDAIA;12
ALDEA (L');1
ALDEA DE SAN NICOLAS (LA);3
ALDEA DEL FRESNO;1
ALDEA DEL REY;2
ALDEA EN CABO;1
ALDEADAVILA DE LA RIBERA;1
ALDEAMAYOR DE SAN MARTIN;2
ALDEANUEVA DE EBRO;4
ALDEANUEVA DE LA VERA;1
ALDEANUEVA DE SAN BARTOLOME;1
ALDEANUEVA DEL CAMINO;1
ALDEAQUEMADA;1
ALDEATEJADA;1
ALDEIRE;1
ALEDO;1
ALEGIA;1
ALEGRIA-DULANTZI;2
ALELLA;3
ALESANCO;2
ALFACAR;2
ALFAFAR;5
ALFAJARIN;2
ALFAMBRA;1
ALFAMEN;2
ALFARA DEL PATRIARCA;1
ALFARNATE;1
ALFARO;7
ALFARP;1
ALFARRASI;1
ALFARRÀS;3
ALFAS DEL PI (L');11
ALFOZ;1
ALGABA (LA);4
ALGAIDA;1
ALGAMITAS;1
ALGAR;1
ALGARINEJO;3
ALGARROBO;2
ALGECIRAS;29
ALGEMESI;10
ALGETE;5
ALGINET;4
ALGODONALES;2
ALGORFA;1
ALGUAIRE;1
ALGUAZAS;2
ALHAMA DE ALMERIA;3
ALHAMA DE ARAGON;2
ALHAMA DE GRANADA;5
ALHAMA DE MURCIA;7
ALHAMBRA;1
ALHAURIN DE LA TORRE;11
ALHAURIN EL GRANDE;9
ALHENDIN;3
ALIAGA;1
ALIAGUILLA;1
ALICANTE/ALACANT;106
ALIJA DEL INFANTADO;1
ALISEDA;1
ALJARAQUE;6
ALJUCEN;1
ALLANDE;2
ALLARIZ;4
ALLEPUZ;1
ALLER;5
ALLO;2
ALLOZA;1
ALMACELLES;4
ALMACHAR;1
ALMADEN;3
ALMADEN DE LA PLATA;1
ALMADENEJOS;1
ALMAGRO;5
ALMAJANO;1
ALMANSA;10
ALMARCHA (LA);1
ALMARGEN;2
ALMARZA;1
ALMASSORA;9
ALMATRET;1
ALMAZAN;6
ALMEDINA;1
ALMEDINILLA;2
ALMEIDA DE SAYAGO;1
ALMENAR;3
ALMENAR DE SORIA;1
ALMENARA;2
ALMENDRAL;2
ALMENDRAL DE LA CAÑADA;1
ALMENDRALEJO;14
ALMENDRO (EL);1
ALMENSILLA;2
ALMERIA;78
ALMODOVAR DEL CAMPO;5
ALMODOVAR DEL PINAR;1
ALMODOVAR DEL RIO;4
ALMOGUERA;2
ALMOHARIN;2
ALMOLDA (LA);1
ALMONACID DE LA CUBA;1
ALMONACID DE LA SIERRA;2
ALMONACID DE TOLEDO;1
ALMONACID DE ZORITA;1
ALMONACID DEL MARQUESADO;1
ALMONTE;10
ALMORADI;5
ALMOROX;1
ALMUDEVAR;2
ALMUNIA DE DOÑA GODINA(LA);5
ALMUNIA DE SAN JUAN;1
ALMURADIEL;1
ALMUSSAFES;3
ALMUÑECAR;9
ALMÀSSERA;3
ALONSOTEGI;3
ALORA;3
ALOSNO;2
ALOVERA;3
ALOZAINA;1
ALP;2
ALPEDRETE;3
ALPERA;3
ALPICAT;2
ALPUENTE;1
ALPUJARRA DE LA SIERRA;1
ALQUERIA DE LA COMTESSA (L');1
ALQUERIES (LES)/ALQUERIAS DEL NIÑO PERDIDO;2
ALQUIFE;1
ALTAFULLA;2
ALTEA;11
ALTORRICON;2
ALTSASU/ALSASUA;6
ALTURA;1
ALZIRA;12
AMER;1
AMES;9
AMESCOA BAJA;1
AMETLLA DE MAR (L');2
AMETLLA DEL VALLÈS (L');2
AMEZKETA;1
AMIEVA;1
AMOEIRO;1
AMOREBIETA-ETXANO;7
AMPOLLA (L');1
AMPOSTA;5
AMPUERO;2
AMURRIO;6
ANCHURAS;1
ANDOAIN;6
ANDORRA;5
ANDOSILLA;2
ANDRATX;8
ANDUJAR;10
ANGLESOLA;1
ANGLÈS;2
ANGÜES;1
ANIÑON;2
ANNA;2
ANOETA;1
ANSO;1
ANSOAIN/ANTSOAIN;3
ANTAS;3
ANTAS DE ULLA;2
ANTELLA;1
ANTEQUERA;15
ANTIGUA;3
ANTZUOLA;2
AOIZ/AGOITZ;2
ARACENA;5
ARAFO;1
ARAHAL;6
ARAITZ;1
ARAMAIO;2
ARANDA DE DUERO;16
ARANDIGA;1
ARANGUREN;2
ARANJUEZ;16
ARANTZA;2
ARAS DE LOS OLMOS;1
ARBECA;1
ARBIZU;1
ARBO;1
ARBOLEAS;1
ARBOÇ (L');1
ARBUCIES;3
ARCAS;1
ARCHENA;8
ARCHIDONA;5
ARCOS;1
ARCOS (LOS);2
ARCOS DE JALON;2
ARCOS DE LA FRONTERA;8
ARDALES;2
AREATZA;1
AREN;2
ARENAL (EL);1
ARENALES DE SAN GREGORIO;1
ARENAS DE IGUÑA;1
ARENAS DE SAN JUAN;1
ARENAS DE SAN PEDRO;5
ARENYS DE MAR;4
ARENYS DE MUNT;2
ARES;1
ARETXABALETA;3
AREVALO;8
ARGAMASILLA DE ALBA;5
ARGAMASILLA DE CALATRAVA;3
ARGANDA DEL REY;16
ARGENTE;1
ARGENTONA;4
ARGES;2
ARGUEDAS;2
ARIANY;1
ARIBE;2
ARICO;3
ARIZA;2
ARIÑO;2
ARJONA;4
ARJONILLA;2
ARMENTERA (L');1
ARMILLA;8
ARNEDILLO;1
ARNEDO;6
ARNUERO;1
AROCHE;1
ARONA;32
ARQUILLOS;1
ARRAIA-MAEZTU;1
ARRASATE/MONDRAGON;9
ARRECIFE;15
ARRIATE;2
ARRIGORRIAGA;6
ARROBA DE LOS MONTES;1
ARRONIZ;2
ARROYO DE LA ENCOMIENDA;4
ARROYO DE LA LUZ;6
ARROYO DE SAN SERVAN;3
ARROYO DEL OJANCO;2
ARROYOMOLINOS;8
ARROYOMOLINOS DE LEON;1
ARRUBAL;1
ARTAJONA;2
ARTANA;1
ARTEIXO;8
ARTENARA;1
ARTES;2
ARTESA DE LLEIDA;1
ARTESA DE SEGRE;3
ARTZINIEGA;1
ARTÀ;2
ARUCAS;8
ARZUA;3
ASCO;2
ASPARRENA;1
ASPE;7
ASTEASU;1
ASTIGARRAGA;3
ASTILLERO (EL);6
ASTORGA;8
ATARFE;4
ATAUN;1
ATECA;2
ATIENZA;3
ATZENETA D'ALBAIDA;1
ATZENETA DEL MAESTRAT;1
AULESTI;1
AURITZ/BURGUETE;1
AUSEJO;2
AUTOL;3
AVILA;24
AVILES;23
AVINYO;1
AVINYONET DEL PENEDÈS;2
AVION;1
AVIÀ;1
AYAMONTE;8
AYERBE;2
AYLLON;2
AYNA;1
AYORA;3
AZAGRA;2
AZKOITIA;6
AZNALCAZAR;3
AZNALCOLLAR;2
AZPEITIA;10
AZUAGA;8
AZUARA;1
AZUQUECA DE HENARES;9
AÑORA;2
AÑORBE;1
AÑOVER DE TAJO;2
BABILAFUENTE;1
BADAJOZ;70
BADALONA;40
BADARAN;1
BADIA DEL VALLÈS;1
BADOLATOSA;2
BAENA;9
BAEZA;7
BAGUENA;1
